Station   Latitude     Longitude
AAI       -3.6871      128.1943
AAII      -3.6871      128.194
ABJI      -7.7957      114.2342
ALKI      -8.1445      124.5903
APSI      -0.9108      121.6487
ATNI      -9.0835      124.8644
BAKI      -1.19145     136.10702
BANI      -4.31346     129.54272
BASI      -10.2189     120.5777
BATI      -10.2065     123.6633
BBKI      -3.4625      114.8411
BBSI      -5.4875      122.570396
BJI       -7.3329      109.7096
BKSI      -5.3219      120.1224
BLJI      -7.745       113.595
BLSI      -5.3676      105.2452
BMNI      -8.54        118.6926
BNDI      -4.31346     129.54272
BNSI      -4.4006      120.1065
BSI       5.4964       95.2961
BSMI      -3.1075      130.494
BSSI      -6.1428      120.4904
BWJI      -5.8511      112.6578
BYJI      -8.214       114.3557
CBJI      -6.6981      106.9349
CGJI      -6.6135      105.692902
CLJI      -7.7187      109.015
CMJI      -7.7837      108.448502
CNJI      -7.309       107.1296
CTJI      -7.00754     109.18356
DBJI      -6.5538      106.7497
DBNI      -8.50188     118.31213
DNP       -8.6774      115.2097
DSRI      -0.4793      104.5778
EDFI      -8.7497      121.6903
EGSI      -5.35241     102.27629
FAKI      -2.919231    132.26503
GLMI      1.8381       127.7879
GMJI      -8.2732      113.4441
GRJI      -6.9145      112.4793
GTOI      0.7628       122.87
IGBI      -8.8181      115.1456
JAY       -2.5145      140.7043
JCJI      -6.7344      108.2631
JMBI      -1.6335      103.6417
KASI      -5.52361     104.495964
KBKI      -3.2995      116.1668
KCSI      3.522185     97.771575
KDI       -3.95743     122.61926
KHK       -8.36404     115.60964
KKSI      -4.1718      121.6513
KLI       -4.8363      104.87052
KLNI      -8.42188     116.09492
KLSI      -4.6871      104.7317
KMMI      -7.0412      113.9157
KMPI      -3.6616      133.7044
KMSI      0.574544     123.890674
KPJI      -7.333193    108.931228
KRAI      -3.3184      128.3947
KRJI      -2.0912      101.4619
KRK       -8.1521      112.4506
KSI       -3.6517      102.5929
LASI      4.4572       97.9704
LBFI      -8.4835      119.8921
LBMI      -0.6379      127.5008
LEM       -6.8266      107.61756
LHSI      -3.8267      103.5233
LRTI      -8.2752      123
LUWI      -1.041806    122.771635
LWLI      -5.0175      104.0589
MASI      -3.1415      102.2396
MBSI      -3.7611      102.2714
MDSI      -4.4861      104.1783
MGAI      4.0079       126.67
MJSI      -3.5008      118.9149
MKBI      -2.4474      101.2396
MKS       -5.2178      119.4696
MLSI      4.2668       96.404
MMPI      -8.5181      140.4141
MMRI      -8.635715    122.237605
MMSI      -2.6892      118.909
MNI       1.44397      124.83998
MNSI      0.795498     99.579627
MPSI      0.3374       119.898
MRSI      0.4771       121.9406
MSAI      -3.3461      128.9285
MSSI      -2.5547      120.3241
MTKI      -0.9418      114.8959
MTNI      -8.636       116.1707
MWPI      -0.9258      134.0431
NBBI      -8.4597      114.942
NBPI      -3.3656      135.4972
NGJI      -7.3676      111.4612
NLAI      -3.239       127.0998
OBMI      -1.3413      127.6444
PBKI      -2.7047      111.6697
PBSI      -0.0547      98.28
PCI       -0.9054      119.8366
PCJI      -8.1947      111.1771
PDSI      -0.9118      100.4617
PKKI      -2.2411      113.9722
PLKI      -2.2262      113.9453
PMSI      -3.5008      118.9149
PPBI      -2.1616      106.1364
PPI       -0.4568      100.397
PPSI      -2.766       100.01
PSI       2.695        98.924
PTKI      -0.14195     109.40296
PWJI      -8.0219      111.8039
RAPI      -0.4102      130.8211
RBSI      -5.84445     105.742
RGRI      -0.3491      102.3338
RKPI      -1.5107      134.1773
RPSI      2.0723       99.8325
RTBI      -8.4597      114.942
SANI      -2.0497      125.9881
SAUI      -7.9826      131.2988
SBJI      -6.1117      106.1318
SBSI      1.3988       99.431
SCJI      -7.681       109.16892
SDSI      -0.9325      101.428
SGKI      0.530205     117.604347
SGSI      3.686        125.5286
SIJI      -0.86912     131.26605
SISI      -1.3265      99.0895
SKJI      -7.0053      106.5563
SKSI      -2.52832     121.33444
SLSI      -2.3924      102.5927
SMKI      -0.4461      117.2085
SMPI      -1.981002    138.71
SMSI      0.9885       122.3654
SNJI      -7.78081     111.75912
SNSI      2.4089       96.3267
SPSI      -3.9646      119.7691
SRBI      -8.0848      115.2126
SRPI      -1.8755      136.24
STKI      0.0656       111.4772
SWI       -0.8628      131.2592
SWJI      -7.7349      111.7669
TARA      3.32712      117.57037
TARAI     3.32712      117.57037
TBJI      -6.8179      111.8481
TGJI      -6.8679      109.121
TLE       -5.6373      132.7373
TLE2      -5.69943     132.73952
TMSI      1.2948       124.92
TNG       -6.1719      106.6469
TNGI      -6.172       106.647
TNTI      0.772055     127.366901
TPI       -2.75633     107.65345
TPRI      0.9184       104.5263
TPTI      3.2617       97.1773
TRSI      2.0256       98.9594
TSI       3.5012       98.5645
TTSI      -3.0451      119.819
TWSI      -8.7381      116.8821
UBSI      -3.7611      102.2714
UWJI      -6.4191      110.9474
WAMI      -4.09593     138.95004
WBSI      -9.6411      119.3911
WOJI      -7.8372      110.9236
WSI       -9.6689      120.297666
YOGI      -7.8166      110.295
AAK       42.639       74.494
ABPO      -19.0174     47.2275
ARMA      -30.4183     151.6293
BBOO      -32.8096     136.0583
BKB       -1.107318    116.904826
BKNI      0.326416     101.039638
BLDU      30.6147      116.7091
BOSA      -28.6141     25.2555
BTDF      1.3608       103.7729
CASY      -66.2792     110.5364
CBIJ      27.0957      142.1845
CER       -33.3617     19.2933
CHBT      12.7526      102.33
CHTO      18.8138      98.9438
CISI      -7.55569     107.81495
CMMT      18.8128      98.9476
CMSA      -31.5375     145.6916
CNB       -35.315      149.3633
COCO      -12.1901     96.8349
COEN      -13.9574     143.1749
CTA       -20.0883     146.2544
CTAO      -20.0883     146.2544
CVNA      -31.4821     19.7617
DAMY      14.5725      44.3917
DAV       7.07         125.579
DGAR      -7.4121      72.4525
EIDS      -25.3691     151.0817
EIL       29.6699      34.9512
FITZ      -18.102      125.63
FOMA      -24.9756     46.9788
FORT      -30.779      128.059
FURI      8.8967       38.6783
GENI      -2.59268     140.167757
GRM       -33.3133     26.5083
GSI       1.3036       97.5754
GUMO      13.5891      144.8686
HALK      6.08766      80.6806
HMDM      6.77314      73.18216
IPM       4.4795       101.0255
JAGI      -8.470311    114.152046
JMJ       24.8183      125.2925
JOW       26.836       128.2725
KAAM      0.49264      72.99486
KAPI      -5.0142      119.7517
KBL       34.5408      69.0432
KIBK      -2.35907     38.0433
KKM       6.0443       116.2147
KMBL      -31.3669     121.8821
KMBO      -1.1268      37.2523
KOM       35.65        139.7628
KSM       1.4733       110.3083
KUM       5.2902       100.6492
LBTB      -25.0145     25.597
LDM       48.4539      -115.3172
LHI       -31.52       159.0613
LHMI      5.228608     96.946933
LODK      3.42195      35.36165
LSZ       -15.2766     28.1882
MALK      38.3134      38.4273
MAW       -67.6039     62.8706
MBWA      -21.159      119.7312
MCQ       -54.4986     158.9561
MEEK      -26.6378     118.6145
MLSI      4.266851     96.403984
MNAI      -4.36048     102.95571
MOO       -42.4417     147.1903
MORW      -29.0683     116.0388
MSNA      -22.3452     30.0232
MTN       -12.8436     131.1327
NIL       33.6506      73.2686
NIUE      -19.0763     -169.9272
NWAO      -32.9269     17.2339
PALK      7.2728       80.7022
PATS      6.8367       158.3125
PBKT      16.5733      100.969
PHET      12.9133      99.6267
PKDT      7.892        98.335
PLAI      -8.7006      117.7219
PMBI      -2.90243     104.69925
PMG       -9.4062      147.1589
POGA      -27.346      31.707
QSPA      -89.9279     145
RAYN      23.5225      45.5032
RER       -21.159      55.746
RNTT      9.3904       98.4778
SBM       33.9752      -107.1807
SBV       -13.4584     49.9212
SKLT      7.1735       100.619
SKNT      16.9742      103.981
SMRI      -7.049065    110.440768
SNAA      -71.6707     -2.8379
SOEI      -9.755265    124.267243
SRDT      14.3495      99.1212
STKA      -31.8769     141.5952
SUR       -32.3797     20.8117
TATO      24.9754      121.4881
TOLI2     1.121398     120.794456
TOO       -37.5714     145.4906
UBPT      15.2773      105.469
UGM       -7.91248     110.52192
ULN       47.8652      107.0528
UOSS      24.9453      56.2042
VNDA      -77.5172     161.8528
VOI       -22.026      46.7059
WRAB      -19.9333     134.3502
XMAS      2.0448       -157.4453
XMIS      -10.4807     105.6519
YNG       -34.298      148.3963
YOJ       24.4672      123.0113
>> sensor instalasi tahun 2019
TPSI      5.013817     95.948757
KUSI      -3.196400    97.390900
BUSI      5.244536     96.243010
BESI      4.719000     96.865400
SASM      -4.879500    95.482500
LISM      4.316590     97.182198
GPSM      4.864900     96.090400
BESM      -5.298700    95.596600
SISM      4.608238     96.728794
GESM      4.503100     96.074200
KLSM      3.086300     97.329900
MASM      5.298700     95.596600
MTSI      2.152705     98.252701
RLSI      2.068667     99.855361
ONSM      2.159772     98.630021
PTSM      2.011457     99.166174
LTSM      1.529361     98.930500
TKSM      3.137352     98.324417
SDSM      2.754625     98.300803
RSSM      2.598133     98.783183
SPSM      2.305700     98.373722
TTSM      1.099600     99.410556
PLSM      1.539900     99.646000
SNBI      0.963145     97.429463
PABI      0.299428     99.328763
TASI      -2.151000    101.099500
JPSI      -1.341655    100.586305
PLSI      0.237282     100.554099
STSI      -2.388800    101.047800
JASI      -1.542460    101.245296
BPSM      -1.192400    100.590000
LPSM      -1.708083    100.719917
SSSM      -2.355889    101.143111
SLSM      -0.831410    100.653350
LKSM      -0.184817    100.600062
PKSM      -0.184817    100.600062
RASM      -2.165500    101.070800
SMSM      -1.414611    101.458389
MPSM      -0.774472    100.734139
SBSM      0.201082     99.537893
DDSI      1.667700     101.459800
GTSI      -0.598083    101.488780
RRSI      -0.839800    100.346550
MBBI      -1.540570    102.098420
BMSI      -2.066450    102.314590
JMSI      -2.636251    101.888942
SKSM      -1.945910    101.349810
MKSM      -4.571007    103.360249
UTSM      -4.084679    102.746334
ABSM      -3.425362    102.263018
MBSM      -3.134378    101.874404
TMSM      -2.640590    101.307960
LLSI      -3.278500    102.184000
PKSI      -4.042800    103.263900
RMSM      -2.623200    102.761700
BLSM      -3.140600    102.807100
ULSM      -3.759600    102.798500
LHSM      -4.178100    103.575500
MTSM      -4.479200    103.506200
BOSM      -4.859300    104.020800
PPLI      -5.740970    105.144970
PSLI      -5.937410    105.510040
UTSI      -5.313016    104.550928
LLSM      -5.600547    104.809022
PPSM      -5.318056    104.015278
LESM      -4.961567    103.712390
SUSM      -5.021169    104.294549
PSSM      -5.864300    104.695400
WLJI      -6.831101    105.890999
PTJI      -6.26543     106.74881
PBJI      -7.087401    107.476141
JPJI      -6.54738111  107.4176453
TOJI      -6.762253    108.134394
CSJI      -7.330167    106.521028
JBJI      -6.483493    106.469857
BKJI      -7.363265    108.532277
CIJI      -7.135282    108.197750
CBJM      -6.57        107.2117
CSJM      -6.74        108.0099
CWJM      -6.74230516  107.44479453
JTJM      -7.057278    106.801473
CCJM      7.01664      107.14004
SCJM      -6.843247    107.222664
SSJM      -6.88706666  106.9624889
WSJM      -6.974728    106.724702
TSJM      -6.73100     107.8100
CIJM      -6.492722    108.185373
PKJM      -6.795850    108.439858
SEJM      -6.863700    108.586200
PCJM      -6.912830    108.712930
ACJM      -6.803325    108.615066
BTJI      -7.169300    109.127852
PKJI      -7.167800    109.579810
GBJI      -6.953340    109.976200
KWJI      -7.230013    109.580967
BUJI      -7.756550    109.461200
GGJI      -7.030560    110.921027
BPJI      -7.167800    109.579600
PRJI      -8.072210    110.803470
BOJI      -7.568240    110.689740
KBJM      -7.050470    111.232930
JBJM      -6.972900    111.458730
MKJM      -7.662372    110.483680
GGJM      -7.171674    111.203687
GUJM      -7.055098    110.669224
JWJM      -7.206280    110.752575
SBJM      -7.968200    110.266100
GKJM      -7.841133    110.592200
PLJI      -7.861627    112.155247
SEJI      -7.005250    111.729100
LUJI      -7.826000    113.010800
KLJI      -7.994972    113.252236
WRJI      -7.930145    113.792500
GEJI      -8.346953    112.590008
BAJI      -7.090639    112.708563
TUJI      -8.401828    113.732197
BBJM      -7.325980    111.809916
SIJM      -7.248300    112.337900
MLJM      -7.248255    112.337944
WGJM      -7.412170    112.537300
KPJM      -7.188250    111.928083
SKKI      -1.560574    110.582741
KKKI      -2.515468    110.195859
DBKI      -1.679315    114.908028
