net,sta,loc,ch,lat,lon,wZ,wN,wE,starttime
AF,CER,,BH,-33.3617,19.2933,1.0,1.0,1.0,2007-03-15T00:00:00
AF,CVNA,,BH,-31.4821,19.7617,1.0,1.0,1.0,2006-05-11T00:00:00
AF,POGA,,BH,-27.346,31.707,1.0,1.0,1.0,2006-03-30T00:00:00
AK,COLD,,BH,67.226898,-150.203796,1.0,1.0,1.0,2016-08-11T00:00:00
AK,RDOG,,BH,68.0541,-162.908005,1.0,1.0,1.0,2015-05-22T00:00:00
AK,S31K,,BH,57.9616,-136.232,1.0,1.0,1.0,2019-10-16T00:00:00
AK,UNV,,BH,53.8452,-166.504501,1.0,1.0,1.0,2015-07-15T00:00:00
AU,ARMA,,BH,-30.418301,151.629303,1.0,1.0,1.0,2007-11-19T00:00:00
AU,ARPS,,BH,-36.769901,141.838303,1.0,1.0,1.0,2006-01-23T00:00:00
AU,BBOO,,BH,-32.8102,136.058807,1.0,1.0,1.0,2008-11-24T00:00:00
AU,BLDU,,BH,-30.6147,116.709099,1.0,1.0,1.0,2003-05-27T00:00:00
AU,CMSA,,BH,-31.5375,145.691605,1.0,1.0,1.0,2001-06-26T00:00:00
AU,CNB,,BH,-35.314999,149.363297,1.0,1.0,1.0,2007-08-01T00:00:00
AU,COEN,,BH,-13.9574,143.174896,1.0,1.0,1.0,2008-01-23T00:00:00
AU,CTA,,BH,-20.087601,146.25,1.0,1.0,1.0,2006-05-04T00:00:00
AU,EIDS,,BH,-25.369101,151.081696,1.0,1.0,1.0,2003-06-23T00:00:00
AU,FITZ,,BH,-18.0982,125.640297,1.0,1.0,1.0,2001-04-19T00:00:00
AU,FORT,,BH,-30.778999,128.059006,1.0,1.0,1.0,2003-06-19T00:00:00
AU,GIRL,,BH,-22.643,114.234001,1.0,1.0,1.0,2004-11-22T21:17:00
AU,KLBR,,BH,-31.591499,117.754601,1.0,1.0,1.0,2003-05-29T00:00:00
AU,KMBL,,BH,-31.366899,121.882103,1.0,1.0,1.0,2006-05-01T00:00:00
AU,KNRA,,BH,-15.6769,128.762802,1.0,1.0,1.0,2008-08-21T00:00:00
AU,LHI,,BH,-31.52,159.061295,1.0,1.0,1.0,2007-07-08T00:00:00
AU,MANU,,BH,-2.0432,147.366196,1.0,1.0,1.0,2009-05-26T00:00:00
AU,MAW,,BH,-67.603996,62.870998,1.0,1.0,1.0,2003-01-31T00:00:00
AU,MCQ,,BH,-54.4986,158.9561,1.0,1.0,1.0,2004-06-28T00:00:00
AU,MEEK,,BH,-26.638,118.614998,1.0,1.0,1.0,2003-06-25T00:00:00
AU,MGCD,,BH,-33.2096,151.1092,1.0,1.0,1.0,2004-11-09T21:48:00
AU,MILA,,BH,-37.0547,149.155,1.0,1.0,1.0,2006-04-11T00:00:00
AU,MOO,,BH,-42.4417,147.190308,1.0,1.0,1.0,2005-05-13T00:00:00
AU,MORW,,BH,-29.0679,116.040298,1.0,1.0,1.0,2008-04-28T00:00:00
AU,MTN,,BH,-12.8436,131.132706,1.0,1.0,1.0,2006-08-20T00:00:00
AU,MTSU,,SH,-18.148199,144.319504,1.0,1.0,1.0,2004-11-09T21:48:00
AU,NFK,,BH,-29.043301,167.938904,1.0,1.0,1.0,2008-05-20T00:00:00
